,task_size,cpu_demand,memory_demand,network_latency,io_operations,disk_usage,num_connections,priority_level,target,timestamp
0,-0.152123890256295,3.7501598318827,-0.981181899443414,0.251506767889917,-0.471993251354734,1.00702596364477,0.313790230779131,3.05095271576998,1,2023-03-16 03:46:22
816,1.93061314230297,0.201506626240107,0.900052726116132,-2.85226725755416,-0.378427348643463,6.18604628685359,0.0043777607148199,-2.64056949214487,1,2023-07-11 11:25:06
790,-0.22303460554376,1.07990822937187,1.1880934713518,-0.56707359670509,-2.0961122812497,3.90094065792622,1.82219777164299,-0.21569443650608,1,2024-05-29 18:16:47
361,-2.24483006512941,1.14778764890524,-0.800131103161334,-0.368518498166339,-1.75808827177999,-0.251707406503313,-0.397672330786451,2.72191649806766,0,2022-10-24 20:29:08
592,-0.83491966193885,0.0412547754801786,-0.0388459528614313,0.121643717432985,-1.76760990398439,-0.617312031273415,0.637035538210643,2.75711059087072,0,2023-07-10 23:56:42
1675,0.0,0.0,0.0,17.0,3.0,0.1484366457074518,18.0,0.0,0,2025-04-17 18:20:56.537887
115,-0.689001012046271,0.0526934126774266,-1.16855370845606,1.17150132852797,-2.44535696113156,0.319664230015328,-1.33695250520242,0.22054099210324,0,2023-11-17 15:01:58
1079,0.0,1.514828603576402,0.0,151.0,4.0,0.0,16.0,0.0,0,2025-04-20 16:18:56.535884
546,1.6560337211205,1.61958373220333,-0.146417812309025,-2.90798015784773,-0.197331340939567,7.95007818963874,0.229720962653923,-4.57223972858912,0,2023-06-03 21:36:43
336,-1.024768255883,1.21974864591464,2.04818269893222,-0.766204569915934,-2.95039517104151,1.68896267499923,1.17043131047775,4.86755886599283,1,2023-06-08 14:43:25
1225,1.3029565245337438,0.0,2.493705146118116,80.0,4.0,1.7264527172784283,4.0,0.0,1,2025-04-18 13:16:56.535884
1656,0.0,0.2883752456589432,0.0,11.0,7.0,0.0,3.0,1.0,1,2025-04-18 16:31:56.537887
201,-3.54302724166019,-1.64871676178392,0.514757430635871,-0.197727709410337,0.698681925059896,-3.2028082387405,0.930669257432834,-0.539718851247873,0,2024-11-21 10:30:57
906,-1.4582199928392,0.257151511533535,-2.46358004912831,-0.903364381238991,-2.99289781886851,3.42839064291088,-0.44079213848146,-2.02837948233841,0,2024-05-06 08:27:47
30,-2.82711443213924,-0.328193844464106,-3.33122153709359,-0.711896621316744,-1.98057132255329,0.772371066974817,1.26682175793744,-2.07939739648933,0,2024-10-20 13:10:12
424,-0.450342379891442,2.08181721714978,0.60172056042623,1.26340117143765,-3.5749380237893,1.50749757599901,0.643291233263284,3.90046134366545,1,2024-08-03 14:19:26
1583,3.383708038957153,0.0962813651905821,2.3035534188788214,133.0,4.0,0.0,7.0,0.0,1,2025-04-17 15:13:56.537887
1631,2.0787420491903665,0.0,0.8241639898712702,16.0,4.0,3.466417362198241,19.0,1.0,0,2025-04-18 04:13:56.537887
1153,0.0,0.0,0.3718475692293895,110.0,2.0,3.271924558489364,10.0,1.0,1,2025-04-18 18:38:56.535884
1781,0.0,0.0,0.0,112.0,7.0,1.858651841305592,9.0,0.0,1,2025-04-20 01:34:56.537887
1754,0.0,0.904950202446476,0.0,127.0,6.0,2.2786829902829675,19.0,0.0,0,2025-04-18 02:35:56.537887
608,-0.355220047495767,-1.1606218172839,0.471971134875408,1.29929088163693,-2.70608387225708,-0.777089460603639,-1.5920777340044,1.80619671379256,0,2023-04-29 15:14:37
1671,0.0,0.0,1.055380376328716,50.0,8.0,4.880401641827634,12.0,0.0,0,2025-04-20 02:15:56.537887
969,-3.07547357216971,-1.38402986336391,-0.167009201791692,-0.356847892018215,-0.992009478125345,-1.83262177833627,0.549308846144959,0.364241093212457,0,2023-10-18 07:03:23
293,-1.84294972442341,-0.971916393784014,2.16133791539304,1.40245046604388,0.0678045885153165,-2.97636323749296,0.138631114017745,1.0632094003401,0,2024-10-02 12:46:59
305,2.50032712566812,1.71822224390463,1.50522098261619,-0.302548391642053,0.252077086972168,4.04873194484194,0.922059469480861,-1.00755076951184,1,2023-03-02 13:02:39
653,-2.41289320350781,-3.58088121167488,-2.0536018708772,-3.598809151754,0.661864823994864,-1.11747741998297,-1.39352614540449,-2.10443337307017,0,2024-07-26 21:20:16
